exchange,symbol
binance,BTCUSDT
binance,ETHUSDT
bybit,BTCUSDT
bybit,ETHUSDT
okx,BTC-USDT
okx,ETH-USDT
kucoin,BTCUSDT
kucoin,ETHUSDT
deribit,BTCUSDT
deribit,ETHUSDT
bitget,BTCUSDT
bitget,ETHUSDT
gateio,BTCUSDT
gateio,ETHUSDT
mexc,BTCUSDT
mexc,ETHUSDT
bitmex,BTCUSDT
bitmex,ETHUSDT
phemex,BTCUSDT
phemex,ETHUSDT
coindcx,BTCUSDT
coindcx,ETHUSDT
